horse_id,sire,dam,bms
2020103921,マツリダゴッホ,ヌーナ,Congrats(米)
2017105117,フェノーメノ,タスクミストレス,キングカメハメハ
2020101425,ハービンジャーHarbinger(英),クラウンロゼ,ロサード
2020100838,カレンブラックヒル,ラヴコマンダー,コマンダーインチーフCommander in Chief(英)
2020101457,ダンカークDunkirk(米),ハタノメドゥーサ,ダンスインザダーク
2018105256,キングカメハメハ,ベルワトリングBelle Watling(智),Dushyantor
2020103923,ディーマジェスティ,ハイデフィニション,アグネスデジタル
2019106702,イスラボニータ,パワーオブフェイス,オジジアンOgygian(米)
2019106321,モーリス,エルラディユー,Unbridled's Song(米)
2018102681,ホッコータルマエ,シプカクラッチュ,デヒアDehere(米)
2021110021,Invincible Spirit(愛),Easy Victory,Dubawi
2021106440,アドマイヤムーン,ブライトホープ,Shamardal(米)
2021102670,イスラボニータ,アイカギ,ファンタスティックライトFantastic Light(米)
2021102388,スクリーンヒーロー,トウカイクルーク,エンパイアメーカーEmpire Maker(米)
2021106939,マツリダゴッホ,オーミポルカ,キングヘイロー
2021105057,ミッキーアイル,シアン,Smart Strike(加)
2021100356,アルアイン,クールユリア,ケイムホームCame Home(米)
2021101905,ビッグアーサー,キョウエイレガシー,ハービンジャーHarbinger(英)
2021104665,シルバーステート,ララサンタフェーズ,スペシャルウィーク
2021101394,サトノダイヤモンド,サイズミックレディ,サクラバクシンオー
2021103552,イスラボニータ,ラズールリッキー,スタチューオブリバティStatue of Liberty(米)
2021106372,アジアエクスプレス,ゴールデンファレノ,フジキセキ
2021102669,マジェスティックウォリアーMajestic Warrior(米),ラッキーペニー,ダイワメジャー
2020101856,グレーターロンドン,セイカフォルトゥナ,サウスヴィグラス
2020101143,ダイワメジャー,ビービーバーレル,パイロPyro(米)
2018101166,マジェスティックウォリアーMajestic Warrior(米),サイモンガーランド,ロージズインメイRoses in May(米)
2019104303,エイシンヒカリ,ブルーボサノヴァ,パイロPyro(米)
2020104570,ドゥラメンテ,プレザントケイプPleasant Cape(英),Cape Cross
2020104052,エスポワールシチー,ベガグレシヤス,アドマイヤドン
2016103409,タイムパラドックス,ホウライビクトリア,コロナドズクエストCoronado's Quest(米)
2018102813,ダイワメジャー,リキサンピュアティ,トニービンTony Bin(愛)
2019100844,ヘニーヒューズHenny Hughes(米),ナスカザン,ダイワメジャー
2019104958,エピファネイア,レッツサッチャー,フレンチデピュティFrench Deputy(米)
2020101250,ハービンジャーHarbinger(英),ロイヤルライン,クロフネ
2020101709,キズナ,アサクラ,クロフネ
